axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
IL-15,IL-6,-0.029925059729620174,10,0.990234375,1.0,False,False,False,
Decorin,IFN-omega,-0.029987725753175175,10,1.0,1.0,False,False,False,
IFN-gamma,IL-13,-0.030738735611995926,10,0.9990234375,1.0,False,False,False,
Decorin,IFN-gamma,-0.03166185103194869,10,1.0,1.0,False,False,False,
IFN-omega,VEGF,-0.03186110811227042,10,0.9990234375,1.0,False,False,False,
GM-CSF,IFN-omega,-0.035366039731256335,10,1.0,1.0,False,False,False,
IFN-beta,VEGF,-0.036537507216891515,10,1.0,1.0,False,False,False,
IL-10,TNF-alpha,-0.0369163360365707,10,1.0,1.0,False,False,False,
CD30L,IL-15,-0.038344933295055575,10,1.0,1.0,False,False,False,
IL-2,IL-36-alpha,-0.03854860876403425,10,1.0,1.0,False,False,False,
IFN-beta,IL-13,-0.03878201341013546,10,1.0,1.0,False,False,False,
IL-2,IL-9,-0.03908002395182848,10,1.0,1.0,False,False,False,
CD30L,IL-2,-0.03935291738775761,10,1.0,1.0,False,False,False,
Decorin,IL-2,-0.0414651147130391,10,1.0,1.0,False,False,False,
IL-15,IL-36-alpha,-0.04226068966900525,10,0.9990234375,1.0,False,False,False,
IL-13,IL-2,-0.04271208259236554,10,1.0,1.0,False,False,False,
IL-16,IL-2,-0.044470830140230455,10,1.0,1.0,False,False,False,
IL-15,VEGF,-0.04617626612763043,10,1.0,1.0,False,False,True,DIRECTIONAL_a_to_b
IL-15,TGF-beta1,-0.04624280397496794,10,0.9990234375,1.0,False,False,False,
Decorin,IFN-beta,-0.04880382628382548,10,1.0,1.0,False,False,False,
IL-15,IL-9,-0.05875321023328149,10,1.0,1.0,False,False,False,UNKNOWN
IL-10,IL-15,-0.05987647048643101,10,0.9990234375,1.0,False,False,False,
IL-15,IL-16,-0.05996866970444503,10,1.0,1.0,False,False,False,
Decorin,IL-15,-0.06074273439691119,10,1.0,1.0,False,False,False,
IL-13,IL-15,-0.07809337861026111,10,1.0,1.0,False,False,False,
