axis_a,axis_b,excess_mean,n_donors,p_donor,q_donor,coupled_q05,coupled_q10,is_benchmark,pair_status
CD30L,IL-6,-0.017184688955312596,10,0.994140625,1.0,False,False,False,
IL-2,IL-9,-0.017709389360301434,10,0.9189453125,1.0,False,False,False,
IL-6,TL1A,-0.018252857298590244,10,0.998046875,1.0,False,False,False,
IL-1-beta,VEGF,-0.019197471915336793,10,0.99609375,1.0,False,False,False,
IL-6,TNF-alpha,-0.01949138003605185,10,0.986328125,1.0,False,False,True,DIRECTIONAL_b_to_a
IL-16,IL-6,-0.020762983824592084,10,1.0,1.0,False,False,True,DIRECTIONAL_a_to_b
IL-17A,IL-6,-0.022798017170483943,10,1.0,1.0,False,False,False,
IL-13,IL-15,-0.02283200401594513,10,0.9013671875,1.0,False,False,False,
Decorin,IL-1-beta,-0.0229968054521014,10,1.0,1.0,False,False,False,
IL-10,TNF-alpha,-0.023656469021108933,10,0.9521484375,1.0,False,False,False,
IL-1-beta,IL-36-alpha,-0.02496336436018464,10,0.998046875,1.0,False,False,False,
IL-35,IL-9,-0.025216200322756777,10,0.974609375,1.0,False,False,False,
IL-1-beta,IL-13,-0.027986895286681836,10,1.0,1.0,False,False,False,
Decorin,IFN-beta,-0.028148302740679355,10,0.9990234375,1.0,False,False,False,
IL-10,IL-6,-0.0354885777643649,10,0.9990234375,1.0,False,False,False,
IL-6,IL-9,-0.03965836277289782,10,0.9990234375,1.0,False,False,False,
