axis_a,axis_b,literature_status,literature_direction,expected_sign,cross_median,cross_consensus,cross_n_pos,cross_n_neg,classification,cross_sign_correct,null_n_perms,cross_null_mean,cross_null_q025,cross_null_q975,cross_p_emp_two_sided,dirscore_median,dirscore_consensus,dirscore_sign_correct,dirscore_p_emp_two_sided,dir_n_perms,dir_n_celltypes,dir_null_center,dir_null_q025,dir_null_q975,dir_p_emp,median_score,sign_consensus,sign_correct,error
IL2,IL4,UNKNOWN,no_lit,,0.04826036095619202,0.8333333333333334,10,2,STRONG,False,100,-0.0015519761480391025,-0.015101563837379216,0.011234266613610076,0.0,-0.0025911331176757812,0.5,False,0.59,0,0,,,,,0.04826036095619202,0.8333333333333334,False,
IL10,IL13,UNKNOWN,no_lit,,0.005498439073562622,0.5384615384615384,7,6,AMBIGUOUS,False,100,-0.001116985660046339,-0.008634951431304216,0.006033668015152215,0.22,0.02544255554676056,1.0,False,0.0,0,0,,,,,0.005498439073562622,0.5384615384615384,False,
IL13,IL4,OVERLAP_STAT6,no_lit,,0.023341849446296692,0.75,9,3,STRONG,False,100,-0.0018026546388864517,-0.01515537421219051,0.009324029204435645,0.0,0.015675485134124756,0.8333333333333334,False,0.02,0,0,,,,,0.023341849446296692,0.75,False,
IFNb,IL1b,UNKNOWN,no_lit,,0.05380943417549133,0.9230769230769231,12,1,STRONG,False,100,0.004154033940285445,-0.014521157555282115,0.035953914793208155,0.0,0.20811355113983154,1.0,False,0.0,0,0,,,,,0.05380943417549133,0.9230769230769231,False,
IL10,IL6,UNKNOWN,no_lit,,0.02528136968612671,0.9230769230769231,12,1,STRONG,False,100,-0.0011462203972041607,-0.009154375083744526,0.005443671531975262,0.0,0.007332563400268555,0.5384615384615384,False,0.06,0,0,,,,,0.02528136968612671,0.9230769230769231,False,
IL12,IL2,UNKNOWN,no_lit,,-0.017400383949279785,0.5384615384615384,6,7,WEAK,False,100,0.00293778657913208,-0.012222088687121869,0.012756438506767146,0.03,-0.01323246955871582,0.6153846153846154,False,0.01,0,0,,,,,-0.017400383949279785,0.5384615384615384,False,
IL10,TNFa,UNKNOWN,no_lit,,0.01582467555999756,0.6153846153846154,8,5,WEAK,False,100,-0.0036272989213466645,-0.016407385747879744,0.008336710743606087,0.04,0.014500439167022705,0.6923076923076923,False,0.08,0,0,,,,,0.01582467555999756,0.6153846153846154,False,
IFNb,IL2,UNKNOWN,no_lit,,0.021109849214553833,0.6923076923076923,9,4,WEAK,False,100,0.0015321546327322722,-0.020423865295015275,0.041016580630093676,0.12,0.2183181345462799,1.0,False,0.0,0,0,,,,,0.021109849214553833,0.6923076923076923,False,
IL18,IL2,UNKNOWN,no_lit,,-0.01893526315689087,0.6153846153846154,5,8,WEAK,False,100,0.003997730603441596,-0.009429757576435804,0.01911836145445704,0.03,0.023238539695739746,0.9230769230769231,False,0.0,0,0,,,,,-0.01893526315689087,0.6153846153846154,False,
IFNg,IL15,NK_IFNG,b_to_a,-1.0,-0.06300705671310425,1.0,0,13,STRONG,True,100,-0.0026184424571692945,-0.017134304344654083,0.009973702952265729,0.0,0.058742016553878784,0.9230769230769231,False,0.0,0,0,,,,,-0.06300705671310425,1.0,True,
