seed,cytokine,stage2_train_auc,stage2_val_auc,stage3_train_auc,stage3_val_auc,train_delta,val_delta
123,IFN-lambda1,0.5431414588685856,0.0008086178854275263,0.8681583301832434,2.1679288626287634e-07,0.32501687131465784,-0.0008084010925412634
123,IFN-lambda2,0.5391675030701308,0.0005094882459897286,0.9340812048509719,3.4813779716389605e-07,0.39491370178084106,-0.0005091401081925647
123,IFN-lambda3,0.6406902795687803,0.031496563059416435,0.8991354629173874,0.04293215703093934,0.2584451833486071,0.011435593971522905
123,IFN-omega,0.7269217508343451,0.021112729169130286,0.9258203926622868,0.0013867434800583945,0.1988986418279417,-0.01972598568907189
123,IGF-1,0.5600981369197435,0.001465631744523375,0.8406210956517606,3.5382793212899767e-07,0.28052295873201705,-0.0014652779165912461
123,IL-1-alpha,0.6351579540905109,0.04500497034075457,0.9322396478921177,0.02886704694882858,0.29708169380160676,-0.01613792339192599
123,IL-1-beta,0.771616576941326,0.31008601917409395,0.9607820731639862,0.3837296608107565,0.1891654962226602,0.07364364163666254
123,IL-10,0.807267105139472,0.41218034322790487,0.9313902272586247,0.45668133640737507,0.12412312211915277,0.044500993179470205
123,IL-11,0.6126637296118366,0.008313687612271461,0.8866299905609342,0.0019003094663002363,0.2739662609490976,-0.006413378145971225
123,IL-12,0.623145465830894,0.07789261648707886,0.9027944994483144,0.08033301557796484,0.27964903361742033,0.002440399090885975
123,IL-13,0.7628892396834099,0.0021053399866324627,0.914929328210652,0.00019848452189822341,0.15204008852724205,-0.0019068554647342392
123,IL-15,0.7295126957708711,0.25572938207294327,0.978912895859033,0.31185417585581066,0.24940020008816188,0.05612479378286739
123,IL-16,0.6230753680725108,0.03528773318129015,0.9113540310785173,0.025266051784889366,0.28827866300600646,-0.010021681396400785
123,IL-17A,0.5323291126926724,0.0014394143905766654,0.8832935028750452,4.589220441995917e-05,0.3509643901823728,-0.0013935221861567063
123,IL-17B,0.617901650092053,0.0008986917966818464,0.87606121802181,8.111466407510942e-05,0.25815956792975703,-0.000817577132606737
123,IL-17C,0.5973061435067168,0.0020917911195567755,0.9297224157959222,0.00012445340795536164,0.33241627228920534,-0.0019673377116014136
123,IL-17D,0.6621474304851303,0.010557006918752786,0.9114397435721939,0.0068908843136577065,0.24929231308706368,-0.00366612260509508
123,IL-17E,0.53364715742256,0.00023974436111843484,0.9350612557306888,1.5825200278045743e-05,0.4014140983081288,-0.0002239191608403891
123,IL-17F,0.6225069281538984,0.000391790984079168,0.8806856083764113,8.223717198237293e-08,0.2581786802225129,-0.0003917087469071857
123,IL-18,0.6626897772147621,0.0005671557100364367,0.924150929727964,1.4421211346792365e-10,0.2614611525132019,-0.0005671555658243232
123,IL-19,0.626936210178257,0.0029743852928835685,0.9252287127414718,2.6308554917203564e-05,0.2982925025632148,-0.002948076737966365
123,IL-1Ra,0.6895082177119185,0.014685830658817654,0.9540640927225351,0.0024054047836332224,0.2645558750106166,-0.012280425875184431
123,IL-2,0.756393959578448,0.027947471009281015,0.94512553216815,0.06113995115603148,0.18873157258970197,0.03319248014675046
123,IL-20,0.5544873631377732,0.0005401563802036667,0.8487668685664422,0.00011173781822000223,0.294279505428669,-0.0004284185619836645
123,IL-21,0.8152344491156979,0.27471433276245105,0.9484888130825013,0.2529379378636288,0.13325436396680346,-0.02177639489882227
123,IL-22,0.6638922194695165,0.0005731614296156577,0.8996805474211891,8.301950003241576e-07,0.2357883279516726,-0.0005723312346153336
123,IL-23,0.6133403992795019,0.0033053773083243547,0.8614403425315628,0.00016951888209206761,0.24809994325206086,-0.003135858426232287
123,IL-24,0.712393472239081,0.00037522723435678756,0.857547301061824,1.377642978436688e-08,0.14515382882274297,-0.0003752134579270032
123,IL-26,0.45576464003153655,0.0003842374252989439,0.8433049665160478,1.69215230614854e-06,0.38754032648451125,-0.00038254527299279534
123,IL-27,0.6677211639094385,0.007731385265524547,0.9539309074208141,0.0006690444957590485,0.2862097435113756,-0.007062340769765498
123,IL-3,0.6947180368910151,0.04600010511154236,0.9227016572982072,0.04419896131542543,0.2279836204071921,-0.0018011437961169274
123,IL-31,0.5969554780899692,0.001221571140433619,0.9316272633180022,0.00016351287989985647,0.334671785228033,-0.0010580582605337625
123,IL-32-beta,0.9230851461330661,0.803201299769241,0.9946566650480032,0.9157723357189387,0.07157151891493707,0.11257103594969764
123,IL-33,0.6695479275984895,0.0002857951176717723,0.9446511857688425,1.2599951385399174e-07,0.2751032581703531,-0.00028566911815791835
123,IL-34,0.6058389073898087,0.009767527274552537,0.9480850899726153,0.002208509190897338,0.3422461825828066,-0.007559018083655199
123,IL-35,0.581981286778844,0.0010608428716173365,0.9053874869585039,6.972563858467704e-06,0.32340620017965993,-0.0010538703077588687
123,IL-36-alpha,0.6226438214420019,0.0007067205984235951,0.8838599069550633,2.581249981340914e-06,0.2612160855130614,-0.0007041393484422541
123,IL-36Ra,0.7238999253435792,0.005716046560163014,0.9434332047820093,0.003503536618594147,0.21953327943843015,-0.002212509941568867
123,IL-4,0.8332921598859636,0.338191522792908,0.9978471731901172,0.57405555931435,0.16455501330415356,0.23586403652144206
123,IL-5,0.5885973709400086,0.00077643403882818,0.8705348047989421,1.5988279267772159e-09,0.28193743385893344,-0.0007764324400002532
123,IL-6,0.6045206533120976,0.0006070464487835033,0.9417727927786298,1.173352404146633e-05,0.3372521394665322,-0.0005953129247420369
123,IL-7,0.7686186583273288,0.2140997088546146,0.9956337591648102,0.43520672346668715,0.22701510083748144,0.22110701461207255
123,IL-8,0.625794340543709,0.0033359704130107764,0.9363734050899746,0.0006741173973132339,0.3105790645462656,-0.0026618530156975427
123,IL-9,0.6692329480282311,0.0007178967622514774,0.894985626495164,2.682142162778407e-07,0.22575267846693292,-0.0007176285480351996
123,LIF,0.6240802922570231,0.0005438570200286973,0.9459891457617282,1.7473891426955347e-05,0.3219088535047051,-0.0005263831286017419
123,LIGHT,0.6084311374757805,0.0072624636651759415,0.9047277092412114,0.00607171359401453,0.2962965717654309,-0.0011907500711614118
123,LT-alpha1-beta2,0.6170635180369913,0.0006156004443538197,0.845994851916097,3.079246106049493e-08,0.2289313338791057,-0.0006155696518927592
123,LT-alpha2-beta1,0.4876782282744806,0.0015094224308203356,0.9113275568231941,0.0004839704315974108,0.4236493285487135,-0.0010254519992229248
123,Leptin,0.6686900870288861,0.003067820998697249,0.8495856636307434,0.0006256355053309103,0.1808955766018573,-0.002442185493366339
123,M-CSF,0.810813034923741,0.09176754877681223,0.9042518262118102,0.021225103478419112,0.0934387912880692,-0.07054244529839312
123,Noggin,0.5793604983538804,0.006332391318351902,0.9093223799727856,0.0001277274929475401,0.3299618816189053,-0.006204663825404362
123,OSM,0.5609477518841992,0.0010405133045256567,0.8742933710680459,9.74034096163314e-06,0.31334561918384674,-0.0010307729635640236
123,OX40L,0.509622959519877,0.001509431496153878,0.8933792819231747,5.9342517598616246e-05,0.3837563224032977,-0.0014500889785552618
123,PBS,0.7547935869043789,0.002091205038270679,0.9458258407220244,0.0003242553322347603,0.19103225381764544,-0.0017669497060359184
123,PRL,0.7232941820994431,0.007098612675521723,0.8841468787834047,0.0013648596005292565,0.16085269668396163,-0.0057337530749924665
123,PSPN,0.5749605333598802,0.0006211399826233568,0.918884805469215,7.665959073942242e-09,0.34392427210933485,-0.0006211323166642828
123,RANKL,0.7161169953261386,0.0004039941570475212,0.8519190872942564,2.1597080126251297e-10,0.13580209196811777,-0.00040399394107672
123,SCF,0.5240412981656617,0.0006240505883063339,0.8554330697934144,2.3755499028812886e-06,0.3313917716277527,-0.0006216750384034526
123,TGF-beta1,0.48537268811674683,0.0037558872325723462,0.835509199791122,0.027638395454598192,0.3501365116743752,0.023882508222025846
123,TL1A,0.6624986857213819,0.10208258713748367,0.8940335172908382,0.06250528034769583,0.2315348315694563,-0.03957730678978784
123,TNF-alpha,0.6627374515579375,0.0006377520671330807,0.9351848653227092,1.9252096242030808e-06,0.27244741376477166,-0.0006358268575088776
123,TPO,0.6177632073647171,0.001569428236644722,0.8217022444653673,3.58886484464802e-06,0.2039390371006502,-0.0015658393718000739
123,TRAIL,0.5261276099917744,0.00047654001878884766,0.9096497515782714,5.137562553206899e-07,0.383522141586497,-0.000476026262533527
123,TSLP,0.8775481257845462,0.04506220947733221,0.8882472470704468,0.004121909269434028,0.010699121285900559,-0.04094030020789818
123,TWEAK,0.5909595770379351,0.030240158193228932,0.9339760973662137,0.1460001145043331,0.34301652032827856,0.11575995631110415
123,VEGF,0.5426393238450771,0.008064906883876177,0.8616490714320914,0.00019400739983613564,0.3190097475870143,-0.007870899484040041
